delivery_id,origin_lat,origin_lon,dest_lat,dest_lon,delivery_timestamp,weather_condition,traffic_condition,actual_delivery_time
64,40.76718927435987,-73.99802894622457,40.78550302016199,-73.97929241907892,2024-12-23 22:31:30.777421,801,light,24.6400790775528
65,40.71041085819846,-73.92000839146269,40.707115828517345,-73.99309924073872,2025-01-18 13:35:30.777421,801,heavy,38.26790455778422
66,40.71785446620544,-73.93472538921482,40.79407845205031,-73.94930795620382,2025-01-11 06:27:30.777421,800,normal,24.608909149418494
67,40.72381827810467,-73.99005586072407,40.740941207181706,-73.91891214189921,2025-01-16 06:33:30.777421,800,heavy,44.63963154298746
68,40.724317219099945,-73.92777330681444,40.78358259279105,-73.96678089668845,2025-01-15 11:16:30.777421,800,normal,28.22441717278446
69,40.78556964681063,-73.9169780135433,40.76936180574738,-73.92288771841481,2024-12-31 20:04:30.777421,800,light,18.801449320550336
70,40.739718352961845,-73.93319148634293,40.765465068686595,-73.98484049252,2025-01-13 01:17:30.777421,800,light,32.7082105899535
71,40.720498429541585,-73.9706852269739,40.7875883083517,-73.9460905447264,2025-01-20 21:07:30.777421,500,normal,29.252069764104377
72,40.78963358185211,-73.99869980764893,40.728247242637,-73.95747718145623,2025-01-10 18:41:30.777421,800,normal,35.46051480509667
73,40.70855085308545,-73.9792113744854,40.70375710903989,-73.98721331987775,2024-12-24 12:46:30.777421,500,light,21.71297452021535
74,40.70265322038738,-73.98185645649102,40.776554675051585,-73.99999883652447,2025-01-09 16:03:30.777421,800,normal,32.282511675838975
75,40.75830415609697,-73.95785754494075,40.74165658284823,-73.94774898189145,2025-01-09 16:26:30.777421,800,normal,28.747198156906542
76,40.789267171107696,-73.91825564382616,40.7054634420001,-73.90269218370277,2025-01-08 23:17:30.777421,500,light,25.78052768947966
77,40.73418173516979,-73.97405765665687,40.722612533124966,-73.96958012803637,2025-01-09 16:50:30.777421,600,heavy,65.06579439953991
78,40.737969240816724,-73.94097050574852,40.730394251225505,-73.97695833378826,2024-12-29 17:59:30.777421,600,normal,45.466948922469996
79,40.726806364082286,-73.93758510921509,40.700147382208634,-73.9270655205912,2025-01-04 19:32:30.777421,500,heavy,43.575292457070816
80,40.74094116521913,-73.94479528191481,40.79668454997993,-73.9775706516715,2024-12-30 06:18:30.777421,800,normal,25.711305596065
81,40.743612652913534,-73.9705534240458,40.76630471918034,-73.92581036730414,2025-01-07 14:21:30.777421,500,light,21.24521178242688
82,40.79484533069621,-73.92363942058402,40.78484253790905,-73.95773708029864,2025-01-01 06:55:30.777421,800,light,25.222257537428206
83,40.71401131757665,-73.91315320241021,40.73029309056405,-73.9674704865977,2025-01-07 13:53:30.777421,800,heavy,33.223366210299936
84,40.74874311982495,-73.91054477731059,40.77126213330985,-73.91832205334944,2025-01-19 23:29:30.777421,800,normal,30.019874782585912
85,40.77998552559473,-73.95747864955308,40.71816139677566,-73.96290589918422,2024-12-29 18:41:30.777421,800,light,26.36991193648287
86,40.70224693083201,-73.9731322640615,40.790194019674914,-73.91933064803052,2025-01-20 14:06:30.777421,800,light,24.832220127296218
87,40.75416342146609,-73.93665217801738,40.79848584027624,-73.9245751740318,2025-01-19 05:54:30.777421,801,normal,29.022777860905084
88,40.725788768543325,-73.98606439259272,40.73931952010279,-73.94093621660053,2025-01-21 03:24:30.777421,801,normal,37.99846826242483
89,40.78349302367993,-73.90155978192965,40.76610142542473,-73.99215441836829,2024-12-25 14:38:30.777421,800,normal,27.960142609493737
90,40.75256901823027,-73.98283207141517,40.75444969591039,-73.92906791715275,2024-12-25 05:37:30.777421,800,normal,23.329196204975045
91,40.72723073265194,-73.99816093234526,40.71673213040011,-73.92193682825744,2024-12-25 16:45:30.777421,800,heavy,40.01390746882706
92,40.79142988065605,-73.98822489171098,40.75837727805141,-73.90477782143024,2024-12-27 11:28:30.777421,800,normal,32.93398688992363
93,40.75765164755143,-73.97259447793128,40.70424222982069,-73.97346738624445,2025-01-08 02:32:30.777421,801,normal,29.290721270744303
94,40.75541780025158,-73.93485796116482,40.760155387929984,-73.9703440087794,2025-01-20 06:14:30.777421,800,light,27.512729659881217
95,40.782974180370715,-73.97935787282394,40.771442416407126,-73.92409947174781,2025-01-15 20:29:30.777421,600,normal,39.22255451086762
96,40.70109958286585,-73.98631143699312,40.71025159640665,-73.94861455357933,2025-01-02 12:56:30.777421,800,light,21.46314722525789
97,40.79000186418481,-73.91261099224376,40.75088905555911,-73.96307192297844,2025-01-01 14:56:30.777421,801,normal,27.246565412807115
98,40.75974131021703,-73.93994831395663,40.793292486256966,-73.91724936801268,2025-01-19 16:10:30.777421,800,heavy,46.785966758356196
99,40.76650366745462,-73.98246287213766,40.769720938190964,-73.92856733642651,2024-12-26 07:11:30.777421,600,heavy,62.44095301406337
100,40.791441194592494,-73.9581229475108,40.74617161438131,-73.90790054789035,2025-01-11 11:24:30.777421,800,heavy,35.14166636579218
101,40.73831385282495,-73.94810822947171,40.76945954272533,-73.92710189383442,2025-01-19 21:02:30.777421,500,normal,33.62273794631338
102,40.70469659667751,-73.98337166312439,40.786169090378735,-73.97259284106578,2025-01-08 13:32:30.777421,800,light,11.715396048403889
103,40.773803361642635,-73.9917201332075,40.78070709038667,-73.98047593970435,2024-12-29 15:42:30.777421,800,normal,33.88986181733322
104,40.76031521094664,-73.97546508903187,40.73453419522449,-73.96643895457302,2025-01-14 00:45:30.777421,801,normal,32.06089348275931
105,40.7389295614042,-73.97113062632293,40.79785254683891,-73.91434627762521,2025-01-01 21:37:30.777421,801,normal,19.765690169445566
106,40.735567271646495,-73.92809540948159,40.770116986159024,-73.92729432383847,2025-01-09 05:09:30.777421,801,light,19.990601658174043
107,40.72971217156232,-73.94335953597032,40.756207279440254,-73.90529093328915,2025-01-17 06:52:30.777421,500,normal,33.47043562465438
108,40.74760504021991,-73.93363288346374,40.74962587528824,-73.96194822901302,2025-01-01 01:07:30.777421,801,light,20.617648659938716
109,40.793682973932476,-73.92674279027898,40.716303533693164,-73.9213794347739,2025-01-02 13:49:30.777421,800,normal,33.96674661843029
110,40.721494037859074,-73.99688168649388,40.773444393207555,-73.96156449614759,2025-01-14 05:28:30.777421,800,normal,32.092864429955775
111,40.72622640442999,-73.94049220692997,40.70251934139593,-73.9161002672282,2025-01-06 02:25:30.777421,800,light,25.438143774071477
112,40.705142581348426,-73.95036337527988,40.70114179834541,-73.9296300220371,2024-12-31 10:35:30.777421,500,normal,20.37391838871177
113,40.75968428489169,-73.96657561091831,40.797025710972605,-73.95623386718518,2025-01-09 20:48:30.777421,800,light,21.898166343172424
114,40.77709122037458,-73.98934017468662,40.7234973404996,-73.92951289899567,2025-01-22 08:40:30.777421,800,normal,26.51191774695472
115,40.707513778173585,-73.92718112437964,40.781712814201555,-73.94535696839222,2024-12-27 08:06:30.777421,500,heavy,42.385942585521455
116,40.74954913162062,-73.93115976035723,40.796703527525615,-73.9948331278342,2025-01-15 09:12:30.777421,801,light,24.573228762879673
117,40.743482733860375,-73.97535979667609,40.75047955983045,-73.92815460526775,2024-12-29 11:00:30.777421,800,normal,24.368808964569688
118,40.78191023176742,-73.9200584121031,40.78626404711492,-73.98207443880922,2025-01-02 09:23:30.777421,800,normal,31.07610366475109
119,40.769469647085444,-73.972785486277,40.780000348176365,-73.94472929242815,2025-01-11 18:16:30.777421,800,light,27.066205417351085
120,40.75902306668691,-73.963902610306,40.739655368198996,-73.98682849714208,2025-01-04 22:02:30.777421,800,heavy,46.7626861689657
121,40.70915820733266,-73.90826864245378,40.78652957589089,-73.98427267918203,2025-01-15 22:20:30.777421,800,normal,29.310443741442597
122,40.7136818630919,-73.90497626461793,40.73097878592091,-73.97099544680376,2024-12-28 15:00:30.777421,500,normal,47.99543817800102
123,40.7446005772958,-73.98148670711613,40.787141403419085,-73.93272970057912,2025-01-10 11:56:30.777421,500,heavy,59.97579096180428
124,40.75419009473784,-73.91270541641236,40.779668139719135,-73.97495321012074,2024-12-23 23:16:30.777421,500,light,28.312520622371753
125,40.773222488640954,-73.91934388521386,40.7624874099607,-73.94282540168562,2025-01-07 18:28:30.777421,800,normal,27.58863894899242
126,40.76587833667107,-73.93077234354821,40.78328303767883,-73.90939129395188,2025-01-08 08:31:30.777421,801,normal,40.35914939530057
127,40.78491956515653,-73.97503319911408,40.701215677147744,-73.93259800809412,2025-01-09 02:09:30.777421,800,normal,35.037903413813666
128,40.748942496364315,-73.97787905581804,40.705183579911974,-73.94511413349227,2025-01-21 15:53:30.777421,800,light,18.35829118470308
129,40.79876680079966,-73.90559406603134,40.72876327290437,-73.96932234004778,2025-01-08 09:13:30.777421,801,normal,38.972017255758104
130,40.70394268113685,-73.92944248274844,40.73529585034524,-73.93787075509505,2025-01-05 10:11:30.777421,800,heavy,40.91938525693249
131,40.79252483174157,-73.98194246548726,40.733404996566875,-73.92673009494098,2025-01-03 02:50:30.777421,800,normal,25.695442347033207
132,40.75679452305526,-73.90845117024121,40.74045273855739,-73.993164679969,2025-01-20 20:12:30.777421,801,normal,22.114367774176355
133,40.70339459785858,-73.93025797327532,40.778375984248406,-73.97142416754073,2024-12-28 06:04:30.777421,800,light,22.924335221208796
134,40.729734900737256,-73.90756038046236,40.74327668795993,-73.93145561167782,2024-12-24 23:48:30.777421,500,heavy,50.29728828415263
135,40.797105824516535,-73.90557335108866,40.73324561571487,-73.99434143438533,2025-01-16 07:37:30.777421,800,heavy,53.111293578771516
136,40.74742142166575,-73.91379573490107,40.73739210470128,-73.90555514173057,2025-01-04 01:48:30.777421,500,normal,41.74340284649212
137,40.784454939853504,-73.96808995267568,40.76417343972985,-73.93285208513328,2024-12-30 17:04:30.777421,800,light,21.66845311449586
138,40.78289154741507,-73.99629923652846,40.76322821536376,-73.98010078610406,2025-01-12 04:40:30.777421,800,light,25.55736957687895
139,40.75962698784821,-73.97699911627123,40.74183338641023,-73.92490602016368,2025-01-08 07:29:30.777421,500,normal,40.95749653603694
140,40.71205668857773,-73.99230467983708,40.710137289755316,-73.97221472239103,2025-01-22 09:07:30.777421,800,normal,30.42978694008608
141,40.76962887758781,-73.96601250362319,40.72763191084659,-73.95679810724056,2024-12-25 16:43:30.777421,800,normal,27.06422920484398
142,40.77247667715287,-73.9934643659201,40.798036874094215,-73.99324974533162,2025-01-13 06:57:30.777421,800,normal,27.339137718782773
143,40.73152903378306,-73.94605087076246,40.75187009943806,-73.98206353179879,2025-01-13 11:13:30.777421,800,heavy,44.69831149319866
144,40.7790723164839,-73.96812474970679,40.797067654540975,-73.98866964952725,2024-12-26 08:17:30.777421,800,normal,32.06490282762523
145,40.7625891376437,-73.91140222517639,40.74036010023616,-73.92621150151655,2025-01-10 20:09:30.777421,800,heavy,39.94931768965518
146,40.76158631881823,-73.97670405252464,40.77045544280274,-73.95772713631061,2025-01-22 15:31:30.777421,801,light,14.875730297765308
147,40.702440078155654,-73.91299011260992,40.73465241679527,-73.96023876214471,2025-01-07 23:44:30.777421,800,light,18.837909090834838
148,40.70212694108504,-73.91252983273158,40.72642762631587,-73.97946670612932,2025-01-05 08:37:30.777421,800,light,26.47875568644845
149,40.75289371340272,-73.90609323014871,40.74830396975589,-73.97314662439324,2025-01-10 22:55:30.777421,800,normal,19.34581001322062
150,40.779878323577364,-73.90020658894667,40.72874616648973,-73.93432439365255,2024-12-30 22:20:30.777421,800,normal,35.920905081836075
151,40.73507118154517,-73.9232811711069,40.79685373316999,-73.93963627994407,2025-01-03 17:37:30.777421,801,normal,38.69886493626178
152,40.74019309136092,-73.95201243796961,40.707697946706496,-73.9924416386146,2025-01-08 02:06:30.777421,800,light,24.164385527732826
153,40.76275054632184,-73.91263228858138,40.79514232208455,-73.97027092096927,2025-01-09 08:06:30.777421,801,normal,36.288620688257346
154,40.79840834691993,-73.92317265861355,40.70920669860825,-73.94009554128496,2025-01-13 17:10:30.777421,800,light,26.115098713435543
155,40.74177667821673,-73.9578642997723,40.76236487782903,-73.93514951798814,2024-12-24 17:36:30.777421,600,normal,44.1234515372534
156,40.77375823015889,-73.97612228542317,40.726740202785756,-73.99848893157855,2024-12-28 12:46:30.777421,500,normal,27.75666529446858
157,40.71104741131314,-73.96453778423593,40.79650153694544,-73.97491069543089,2025-01-11 18:01:30.777421,801,normal,38.32000136283928
158,40.72872389916541,-73.9703691879544,40.76760262880526,-73.92933701301213,2024-12-30 09:44:30.777421,500,heavy,62.22073209562252
159,40.72336077510499,-73.99579068103637,40.761000741707946,-73.96870926057863,2025-01-20 19:24:30.777421,500,light,22.998765483636756
160,40.701787393473346,-73.9012277610264,40.72710962537641,-73.94023317172973,2025-01-08 01:49:30.777421,800,normal,22.9437249741515
161,40.74277731337359,-73.96156733528403,40.78660956336117,-73.90532662710767,2024-12-27 16:00:30.777421,800,light,23.452812380970638
162,40.767964728269305,-73.97817461121349,40.710590580440375,-73.98451713874023,2025-01-13 04:30:30.777421,801,normal,29.55576472399953
163,40.79499611839502,-73.92136549855844,40.794473625878304,-73.92634647716652,2024-12-26 10:18:30.777421,800,heavy,43.014644681438206
164,40.70894110023123,-73.95824192242151,40.788299382482975,-73.97973673658646,2025-01-15 00:38:30.777421,800,light,28.83197615944155
165,40.787911830756215,-73.90552679777086,40.75875858711094,-73.92988604055826,2025-01-15 10:32:30.777421,600,normal,28.15747171295628
166,40.74674015112499,-73.93865886107893,40.7680111885447,-73.95918483091333,2025-01-02 05:35:30.777421,800,light,30.32508780647662
167,40.71670339460921,-73.9008831373863,40.701539489169136,-73.94170739431958,2024-12-24 06:53:30.777421,801,normal,30.763323569676942
168,40.723167170138346,-73.90572682258649,40.72531015391796,-73.95497457538572,2025-01-16 23:16:30.777421,600,heavy,68.37367927583018
169,40.76496466489924,-73.93922632051212,40.795758101508376,-73.96009646823576,2024-12-29 09:04:30.777421,500,normal,39.712355028626796
170,40.75126885110165,-73.97693301882822,40.78398016066644,-73.98114593942508,2025-01-12 06:51:30.777421,801,light,29.63550107847031
171,40.71765280320055,-73.97795137909299,40.7672460498025,-73.90229930455611,2025-01-13 20:53:30.777421,800,normal,30.309540520149984
172,40.718643826214425,-73.92204155264334,40.710189310087294,-73.99916800577728,2024-12-26 02:54:30.777421,800,light,25.182242407146987
173,40.73501252591667,-73.99421573234366,40.74335827926326,-73.99073745169487,2025-01-20 03:43:30.777421,800,light,25.156088202421614
174,40.79691026301408,-73.91162141150366,40.77483843496762,-73.90854513361515,2025-01-05 02:25:30.777421,800,light,21.47886879688221
175,40.79277522831952,-73.90050921773536,40.743402097270874,-73.97412883578446,2025-01-09 10:48:30.777421,600,light,25.45166885137681
176,40.71738952492195,-73.96037579810974,40.743440331900665,-73.92765521821501,2025-01-09 06:14:30.777421,801,heavy,36.81226912620801
177,40.77582384757041,-73.93039793819463,40.70090541615804,-73.94105460105153,2024-12-24 23:06:30.777421,800,normal,29.478810102509826
178,40.71538959063399,-73.91841668750094,40.761329168488736,-73.93623117531041,2025-01-06 18:30:30.777421,800,normal,26.065966715518076
179,40.722444057183665,-73.97761823851773,40.72420220799809,-73.92859472766219,2025-01-12 01:58:30.777421,801,normal,28.68527160185756
180,40.753697442289344,-73.94070600651584,40.70913914863318,-73.98007296635332,2025-01-11 09:26:30.777421,800,heavy,54.594757319803364
181,40.758008620783784,-73.99085131626022,40.78774700466545,-73.92612768492735,2025-01-12 17:43:30.777421,800,normal,34.29447398329937
182,40.787746086263034,-73.97343999574113,40.70137455540114,-73.97516237396302,2025-01-18 20:55:30.777421,800,light,22.991696136360105
183,40.71295149212828,-73.9111251920131,40.72144064829932,-73.9729193671963,2024-12-24 10:04:30.777421,801,light,29.356953760883947
184,40.79556514982297,-73.91378723827346,40.72475597702799,-73.99374737042571,2025-01-09 20:58:30.777421,500,normal,33.478388366454595
185,40.78095160747249,-73.9344758019361,40.74589405165968,-73.92672665252138,2025-01-19 15:33:30.777421,600,normal,45.830425756398725
186,40.75508573706092,-73.99130132400886,40.76067317247174,-73.9327128331402,2024-12-28 23:02:30.777421,801,normal,35.42895756630404
187,40.74084532130707,-73.96273114829877,40.70811491785363,-73.90485092898233,2025-01-07 19:06:30.777421,800,normal,27.91197016114061
188,40.725975378376035,-73.92765798863114,40.7838491833843,-73.91949096815044,2025-01-19 14:29:30.777421,800,normal,26.573747262314523
189,40.749587573507874,-73.99189537840924,40.78229838050417,-73.90672894918673,2025-01-11 02:19:30.777421,801,normal,39.731625001576774
190,40.722018320194984,-73.93167412363404,40.75442539661137,-73.97997179821324,2025-01-08 01:09:30.777421,800,heavy,46.29879077038674
191,40.707613085949035,-73.91487930859513,40.761678360785254,-73.9257118506332,2024-12-27 06:01:30.777421,600,heavy,39.32658577792647
192,40.7495146527014,-73.95194134226733,40.7737917393354,-73.94785509758331,2025-01-15 17:20:30.777421,801,normal,29.325252384826147
193,40.75924077846595,-73.9175319034075,40.70684587193336,-73.96288870615699,2025-01-01 15:18:30.777421,500,normal,31.312365001833633
194,40.73478092079022,-73.9321983847441,40.792076660846334,-73.94155510902426,2025-01-10 10:12:30.777421,600,normal,40.34146433390702
195,40.75657319639958,-73.97329717298305,40.75383319432557,-73.97311464856178,2025-01-18 15:07:30.777421,801,light,30.194570070539143
196,40.78786299863551,-73.92025739783931,40.73684489199166,-73.91046539108468,2024-12-25 10:37:30.777421,801,heavy,46.34788595362843
197,40.76584518346584,-73.91494182709059,40.76664630475268,-73.92126129732478,2025-01-21 03:22:30.777421,800,normal,23.051851645722273
198,40.78672942009598,-73.9291637023285,40.74543454230677,-73.93697527805439,2025-01-20 23:35:30.777421,800,normal,28.08392581520692
199,40.783701332836365,-73.93025285383308,40.72483836087432,-73.92945391697165,2024-12-23 23:07:30.777421,800,light,26.166950590464765
200,40.768014077176026,-73.93813886217849,40.74276013337033,-73.95574544851853,2025-01-09 03:39:30.777421,500,light,27.745703925437983
201,40.77527166395576,-73.98413948947069,40.76493223245769,-73.90637193785311,2025-01-16 22:08:30.777421,800,normal,26.776620244182542
202,40.78808707591989,-73.91281564722549,40.706400634660866,-73.9175256762653,2025-01-03 07:17:30.777421,600,light,37.98731567243117
203,40.70292472830346,-73.91741832494353,40.72923831104122,-73.95560805454936,2025-01-08 13:41:30.777421,800,normal,38.09096244719539
204,40.71288698674735,-73.96648811457409,40.702191332877504,-73.96989539221657,2025-01-10 07:34:30.777421,500,normal,38.76854899775112
205,40.774350825629156,-73.98392401039517,40.750263124263014,-73.99438239226525,2025-01-12 03:58:30.777421,800,light,29.2037660521268
206,40.7817967024119,-73.91678658220422,40.749109572938316,-73.90728893711416,2025-01-22 01:37:30.777421,600,heavy,56.935050712418516
207,40.750746773376086,-73.99936141282832,40.710539321810785,-73.92355592719245,2025-01-07 04:16:30.777421,500,normal,35.949827333255634
208,40.728703813317495,-73.93830730816244,40.7409671053376,-73.93448262854757,2025-01-03 17:38:30.777421,800,heavy,41.80013610825022
209,40.79811861780274,-73.93681864729834,40.72602365979852,-73.98405077374586,2025-01-11 03:20:30.777421,800,normal,30.593395420338457
210,40.72598035810642,-73.93659942969005,40.716046261427124,-73.99295080543568,2024-12-25 18:41:30.777421,600,light,38.643117638285496
211,40.75399853797158,-73.92201546048489,40.718564670490125,-73.93357806150111,2024-12-28 08:56:30.777421,800,normal,25.40515439472611
212,40.710698063882695,-73.9238972097498,40.78816906118435,-73.91858743144088,2025-01-16 23:04:30.777421,800,heavy,46.531328798594345
